brand type,km,ownerno,oem,model,modelyear,price,registration year,insurance validity,fuel type,seats,transmission,year of manufacture,displacement,no of cylinder,values per cylinder,turbo charger,super charger,length,width,height,gear box,drive type,steering type,turning radius,tyre type,no door numbers,city
suv,20000,1,kia,kia sonet,2022,1150000,2022,third party,petrol,5,automatic,2022,998,3,4,yes,no,3995,1790,1642,7,fwd,electric,5.41,tubeless radial,5,chennai
minivans,20687,1,maruti,maruti eeco,2015,415000,2015,comprehensive,petrol,7,manual,2015,1196,4,4,no,no,3675,1475,1800,5,rwd,manual,4.5,tubeless,5,chennai
suv,30000,1,nissan,nissan magnite,2021,750000,2021,third party,petrol,5,manual,2021,999,3,4,yes,no,3994,1758,1572,5,fwd,electronic,5.0,tubeless radial,5,chennai
hatchback,59247,1,hyundai,hyundai i10,2015,398000,2015,comprehensive,petrol,5,manual,2015,1086,4,3,no,no,3585,1595,1550,5,fwd,power,4.7,tubeless,5,chennai
hatchback,50000,1,honda,honda jazz,2015,550000,2015,third party,petrol,5,manual,2015,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,chennai
sedan,20000,1,mercedes-benz,mercedes-benz e-class,2016,3300000,2017,comprehensive,diesel,5,automatic,2016,2143,4,4,yes,no,4879,2071,1474,7,rwd,power,5.3,tubeless radial,4,chennai
hatchback,29403,1,maruti,maruti celerio,2016,453000,2016,comprehensive,petrol,5,automatic,2016,998,3,4,no,no,3715,1635,1565,5,fwd,power,4.7,tubeless radial,5,chennai
hatchback,42700,1,maruti,maruti a-star,2010,285000,2010,comprehensive,petrol,5,manual,2010,998,3,4,no,no,3500,1600,1490,5,fwd,power,4.5,tubeless radial,5,chennai
suv,23001,1,bmw,bmw x3,2018,5000000,2018,comprehensive,diesel,5,automatic,2018,1995,4,4,yes,no,4708,1891,1676,8,awd,power,5.95,tubeless radial,5,chennai
suv,25925,2,ford,ford ecosport,2018,821000,2018,comprehensive,petrol,5,automatic,2018,1497,3,4,no,no,3998,1765,1647,6,fwd,power,5.3,tubeless radial,4,chennai
hatchback,20000,1,hyundai,hyundai i20,2021,865000,2021,third party,petrol,5,manual,2021,1197,4,4,no,no,3995,1775,1505,5,fwd,electric,5.01,tubeless radial,5,chennai
hatchback,17711,1,honda,honda jazz,2019,792000,2019,comprehensive,petrol,5,automatic,2019,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,chennai
sedan,50000,1,bmw,bmw 3 series,2020,4050000,2020,comprehensive,diesel,5,automatic,2020,1995,4,4,yes,no,4709,1827,1435,8,rwd,power,5.5,tubeless radial,4,chennai
hatchback,50000,1,maruti,maruti swift,2018,610000,2018,third party,petrol,5,manual,2018,1197,4,4,no,no,3840,1735,1530,5,fwd,power,4.83,tubeless,5,chennai
hatchback,51125,2,hyundai,hyundai grand i10,2018,511000,2019,comprehensive,petrol,5,manual,2018,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
suv,69233,1,tata,tata nexon,2019,710000,2019,comprehensive,diesel,5,manual,2019,1497,4,4,yes,no,3994,1811,1607,6,fwd,power,5.1,tubeless radial,5,chennai
suv,65000,1,jeep,jeep compass,2017,1225000,2017,comprehensive,diesel,5,manual,2017,1956,4,4,yes,no,4405,1818,1640,6,4x2,power,5.7,tubeless radial,5,chennai
sedan,93281,1,honda,honda city,2014,570000,2014,comprehensive,petrol,5,manual,2014,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
suv,18000,1,toyota,toyota fortuner,2022,3900000,2022,comprehensive,diesel,7,manual,2022,2755,4,4,yes,no,4795,1855,1835,6,2wd,manual,5.8,tubeless radial,5,chennai
sedan,99225,2,honda,honda amaze,2014,375000,2014,comprehensive,petrol,5,manual,2014,1198,4,4,no,no,3990,1680,1505,5,fwd,power,4.5,tubeless radial,4,chennai
hatchback,30000,1,hyundai,hyundai eon,2016,275000,2016,third party,petrol,5,manual,2016,998,3,4,no,no,3515,1550,1510,5,fwd,power,4.6,tubeless,5,chennai
sedan,30602,1,honda,honda amaze,2014,429000,2014,comprehensive,petrol,5,manual,2014,1198,4,4,no,no,3990,1680,1505,5,fwd,power,4.5,tubeless radial,4,chennai
hatchback,64500,1,maruti,maruti swift,2018,675000,2018,comprehensive,diesel,5,manual,2018,1248,4,4,yes,no,3840,1735,1530,5,fwd,power,4.8,tubeless,5,chennai
sedan,46809,2,honda,honda city,2017,793000,2017,comprehensive,petrol,5,manual,2017,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
suv,20000,1,tata,tata nexon ev,2020,1100000,2020,third party,electric,5,automatic,2020,0,4,4,no,no,3993,1811,1606,5,fwd,electric,5.1,tubeless radial,5,chennai
suv,20000,1,hyundai,hyundai creta,2019,1425000,2019,comprehensive,diesel,5,automatic,2019,1582,4,4,yes,no,4270,1780,1630,6,fwd,power,5.3,tubeless,5,chennai
suv,21725,1,hyundai,hyundai venue,2020,1036000,2020,third party,petrol,5,automatic,2020,998,3,4,yes,no,3995,1770,1605,7,fwd,power,5.01,radial,5,chennai
sedan,80000,1,honda,honda city,2016,800000,2016,third party,petrol,5,manual,2016,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
sedan,88000,2,audi,audi a6,2013,1400000,2013,third party,petrol,5,automatic,2013,1984,4,4,yes,no,4915,2086,1455,8,fwd,power,5.95,tubeless radial,4,chennai
sedan,30360,2,honda,honda city,2019,1088000,2019,third party,petrol,5,automatic,2019,1497,4,4,no,no,4440,1695,1495,c,fwd,power,5.3,tubeless radial,4,chennai
hatchback,70000,2,maruti,maruti baleno,2017,590000,2017,third party,petrol,5,automatic,2017,1197,4,4,no,no,3995,1745,1510,c,fwd,power,4.9,tubeless radial,5,chennai
hatchback,16246,1,hyundai,hyundai grand i10,2016,568000,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
hatchback,55000,2,maruti,maruti celerio,2017,400000,2017,comprehensive,petrol,5,automatic,2017,998,3,4,no,no,3600,1600,1560,5,fwd,power,4.7,tubeless radial,5,chennai
muv,13000,1,toyota,toyota innova crysta,2022,2790000,2022,comprehensive,petrol,7,automatic,2022,2694,4,4,no,no,4735,1830,1795,6,rwd,power,5.4,tubeless radial,5,chennai
hatchback,71638,2,maruti,maruti celerio,2016,422000,2016,third party,petrol,5,automatic,2016,998,3,4,no,no,3715,1635,1565,5,fwd,power,4.7,tubeless radial,5,chennai
sedan,46105,1,honda,honda amaze,2015,450000,2015,comprehensive,petrol,5,manual,2015,1198,4,4,no,no,3990,1680,1505,5,fwd,power,4.5,tubeless radial,4,chennai
suv,60000,1,honda,honda wr-v,2017,650000,2017,third party,petrol,5,manual,2017,1199,4,4,no,no,3999,1734,1601,5,fwd,electric,5.3,tubeless radial,5,chennai
hatchback,80000,1,honda,honda jazz,2017,575000,2017,third party,diesel,5,manual,2017,1498,4,4,yes,no,3955,1694,1544,6,fwd,power,5.1,tubeless radial,5,chennai
hatchback,58000,1,mercedes-benz,mercedes-benz b class,2015,1950000,2016,comprehensive,diesel,5,automatic,2015,2143,4,4,yes,no,4359,2010,1557,7,fwd,power,5.5,tubeless radial,5,chennai
sedan,70000,2,maruti,maruti esteem,2008,150000,2008,third party,petrol,5,manual,2008,1298,4,4,no,no,4095,1575,1395,5,fwd,power,4.8,tubeless radial,4,chennai
hatchback,61764,1,maruti,maruti baleno,2017,702000,2017,third party,petrol,5,automatic,2017,1197,4,4,no,no,3995,1745,1510,c,fwd,power,4.9,tubeless radial,5,chennai
suv,36018,2,mahindra,mahindra kuv 100,2016,448000,2016,third party,petrol,6,manual,2016,1198,3,4,no,no,3675,1715,1635,5,fwd,power,5.05,tubeless radial,5,chennai
suv,150000,1,renault,renault duster,2016,650000,2016,third party,diesel,5,automatic,2016,1461,4,4,yes,no,4315,1822,1695,6,fwd,power,5.2,tubeless radial,5,chennai
hatchback,17197,1,hyundai,hyundai grand i10 nios,2022,801000,2022,third party,petrol,5,manual,2022,998,3,4,yes,no,3805,1680,1520,5,fwd,electric,5.01,tubeless radial,5,chennai
sedan,62931,2,honda,honda city,2016,772000,2016,comprehensive,petrol,5,automatic,2016,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
sedan,90000,2,toyota,toyota corolla altis,2013,500000,2013,third party,petrol,5,manual,2013,1798,4,4,no,no,4620,1776,1475,6,fwd,power,5.3,tubeless radial,4,chennai
suv,21023,1,mahindra,mahindra xuv300,2021,1103000,2021,third party,petrol,5,manual,2021,1197,3,4,yes,no,3995,1821,1627,6,fwd,power,5.3,tubeless radial,5,chennai
sedan,43000,1,toyota,toyota corolla altis,2018,1490000,2018,comprehensive,diesel,5,manual,2018,1364,4,4,yes,no,4620,1775,1475,6,fwd,power,5.4,tubeless radial,4,chennai
sedan,110505,1,maruti,maruti swift dzire,2017,627000,2018,third party,diesel,5,automatic,2017,1248,4,4,yes,no,3995,1735,1515,5,fwd,power,4.8,tubeless radial,4,chennai
sedan,78892,1,hyundai,hyundai verna,2018,835000,2018,third party,petrol,5,manual,2018,1591,4,4,no,no,4440,1729,1475,6,fwd,power,5.01,tubeless,4,chennai
sedan,59000,1,audi,audi a6,2015,2089999,2016,third party,diesel,5,automatic,2015,1968,4,4,yes,no,4933,1874,1455,7,fwd,power,5.95,tubeless radial,4,chennai
sedan,90058,1,chevrolet,chevrolet sail,2014,350000,2014,comprehensive,petrol,5,manual,2014,1199,4,4,no,no,4249,1690,1503,5,fwd,power,5.15,tubeless radial,4,chennai
suv,69000,1,audi,audi q5,2015,2100000,2015,third party,diesel,5,automatic,2015,2967,6,4,yes,no,4629,2089,1655,7,awd,power,5.8,tubeless radial,5,chennai
suv,67000,1,honda,honda wr-v,2019,925000,2019,comprehensive,diesel,5,manual,2019,1498,4,4,yes,no,3999,1734,1601,6,fwd,electric,5.3,tubeless radial,5,chennai
sedan,80000,1,maruti,maruti ciaz,2017,850000,2017,third party,diesel,5,manual,2017,1248,4,4,yes,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,chennai
sedan,80000,1,maruti,maruti ciaz,2017,850000,2017,third party,diesel,5,manual,2017,1248,4,4,yes,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,chennai
suv,57000,1,audi,audi q7,2020,6600000,2020,comprehensive,diesel,7,automatic,2020,2967,4,4,yes,no,5052,2212,1740,8,awd,power,6.2,tubeless radial,5,chennai
muv,800000,1,toyota,toyota innova crysta,2018,2150000,2018,comprehensive,diesel,8,manual,2018,2393,7,4,yes,no,4735,1830,1795,5,rwd,power,5.4,tubeless radial,5,chennai
sedan,5500000,1,mercedes-benz,mercedes-benz c-class,2018,3600000,2018,comprehensive,diesel,5,automatic,2018,2143,4,4,yes,no,4686,2020,1442,9,rwd,power,5.61,tubeless radial,4,chennai
sedan,27000,1,bmw,bmw 7 series,2017,6800000,2017,comprehensive,diesel,5,automatic,2017,2993,6,4,yes,no,5219,2142,1481,8,rwd,power,6.25,tubeless radial,4,chennai
suv,38334,1,tata,tata nexon,2018,707000,2018,comprehensive,petrol,5,manual,2018,1198,3,4,yes,no,3994,1811,1607,6,fwd,power,5.1,tubeless radial,5,chennai
hatchback,36992,1,volkswagen,volkswagen polo,2019,680000,2019,third party,petrol,5,manual,2019,999,3,4,no,no,3971,1682,1469,5,fwd,electronic,4.9,tubeless radial,5,chennai
suv,50000,2,bmw,bmw x3,2016,3750000,2016,comprehensive,diesel,5,automatic,2016,2993,6,4,yes,no,4657,2089,1678,8,4wd,power,5.95,tubeless radial,5,chennai
suv,34596,1,tata,tata new safari,2021,2039000,2021,comprehensive,diesel,6,automatic,2021,1956,4,4,yes,no,4661,1894,1786,6,fwd,power,4.93,tubeless radial,5,chennai
hatchback,84564,1,datsun,datsun go,2019,401000,2019,third party,petrol,5,manual,2019,1198,3,4,no,no,3788,1636,1507,5,fwd,power,4.6,tubeless,5,chennai
sedan,60001,2,mercedes-benz,mercedes-benz e-class,2013,2150000,2013,comprehensive,diesel,5,automatic,2013,2143,4,4,yes,no,4879,1854,1474,7,rwd,power,5.3,tubeless radial,4,chennai
hatchback,23462,1,hyundai,hyundai santro,2018,505000,2018,zero dep,petrol,5,manual,2018,1086,4,3,no,no,3610,1645,1560,5,fwd,power,5.01,tubeless radial,5,chennai
suv,13000,1,volkswagen,volkswagen taigun,2022,1599000,2022,third party,petrol,5,automatic,2022,999,3,4,yes,no,4221,1760,1612,6,fwd,electric,5.05,tubeless radial,5,chennai
sedan,54658,1,honda,honda amaze,2019,830000,2019,comprehensive,diesel,5,automatic,2019,1498,4,4,yes,no,3995,1695,1501,5,fwd,power,4.9,tubeless radial,4,chennai
suv,34164,1,mahindra,mahindra xuv300,2020,1036000,2020,third party,petrol,5,manual,2020,1197,3,4,yes,no,3995,1821,1627,6,fwd,power,5.3,tubeless radial,5,chennai
suv,10000,1,kia,kia seltos,2022,1595000,2022,third party,petrol,5,manual,2022,1497,4,4,no,no,4315,1800,1645,6,fwd,electric,5.41,tubeless radial,5,chennai
hatchback,70000,3,fiat,fiat punto,2010,100000,2010,third party,petrol,5,manual,2010,1368,4,4,no,no,3987,1687,1495,5,fwd,power,5.0,tubeless radial,5,chennai
suv,37000,1,hyundai,hyundai venue,2020,825000,2020,third party,petrol,5,manual,2020,1197,4,4,no,no,3995,1770,1605,5,fwd,electric,5.01,radial,5,chennai
suv,20000,1,mahindra,mahindra xuv700,2022,2900000,2022,comprehensive,diesel,7,automatic,2022,2198,4,4,yes,no,4695,1890,1755,6,awd,power,5.34,tubeless radial,5,chennai
hatchback,53967,1,maruti,maruti baleno,2016,550000,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,chennai
hatchback,52700,1,hyundai,hyundai i10,2011,299000,2011,comprehensive,petrol,5,manual,2011,1197,4,4,no,no,3585,1595,1550,5,fwd,power,5.01,tubeless radial,4,chennai
suv,60000,1,tata,tata nexon,2018,750000,2018,third party,petrol,5,automatic,2018,1198,3,4,yes,no,3994,1811,1607,6,fwd,power,5.1,tubeless radial,5,chennai
hatchback,53967,1,maruti,maruti baleno,2016,550000,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,chennai
sedan,99225,2,honda,honda amaze,2014,375000,2014,comprehensive,petrol,5,manual,2014,1199,4,4,no,no,3995,1695,1498,5,fwd,electric,4.7,tubeless radial,4,chennai
sedan,60000,2,fiat,fiat linea,2011,265000,2011,third party,petrol,5,manual,2011,1368,4,4,yes,no,4560,1730,1487,f,fwd,power,5.5,tubeless radial,4,chennai
hatchback,48220,1,honda,honda jazz,2020,808000,2020,third party,petrol,5,automatic,2020,1199,4,4,no,no,3989,1694,1544,7,fwd,electric,5.1,tubeless radial,5,chennai
hatchback,72024,1,honda,honda jazz,2016,542000,2016,third party,petrol,5,manual,2016,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,chennai
sedan,80000,1,honda,honda amaze,2016,529000,2016,third party,petrol,5,automatic,2016,1198,4,4,no,no,3990,1680,1505,5,fwd,power,4.7,tubeless radial,4,chennai
hatchback,78735,1,volkswagen,volkswagen polo,2017,684000,2017,third party,petrol,5,manual,2017,1199,3,4,no,no,3971,1682,1469,5,fwd,power,4.97,tubeless radial,5,chennai
suv,72955,2,ford,ford ecosport,2018,813000,2018,zero dep,diesel,5,manual,2018,1498,4,4,yes,no,3998,1765,1647,5,fwd,power,5.3,tubeless radial,4,chennai
sedan,40000,1,maruti,maruti ciaz,2015,650000,2015,third party,petrol,5,automatic,2015,1373,4,4,no,no,4490,1730,1485,4,fwd,power,5.4,tubeless radial,4,chennai
suv,14037,1,jeep,jeep compass,2021,1802000,2021,comprehensive,petrol,5,manual,2021,1368,4,4,no,no,4405,1818,1640,6,4x2,power,5.7,tubeless radial,5,chennai
hatchback,29000,1,hyundai,hyundai i20,2019,745000,2019,comprehensive,petrol,5,manual,2019,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless radial,5,chennai
hatchback,69864,1,maruti,maruti baleno,2017,619000,2017,third party,petrol,5,manual,2017,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,chennai
